session_id,cluster
1e5f1260-0b29-489b-b769-d19badd4705e,0
1e987c6d-0628-4884-8e0a-89f11a42994c,0
1e98b9f5-a4cc-4d3c-bf2b-e594751d87f7,0
1eae5f96-9488-4451-89a1-b0958e1bc41a,1
1ece8e03-5f90-4174-91fc-0e24df5c91a8,0
1eced2ca-1f4a-485f-8179-2b32fd449af0,2
1ee0e74a-0866-476d-8cd1-52a417c73980,2
1eeacd9a-ead8-437c-a1d7-8a6b7bcd85fb,0
1f1db803-025d-4bb2-b707-2a976c1b85ae,1
1f284806-c848-46d1-9225-704fb5f50aaf,2
1f2a0cb0-76d7-4007-a7bd-a8ea933d7b75,2
1f46a3da-dee5-4425-83a8-ba3f9a5b8b5d,1
20395208-a759-452c-8e3f-cb5798593884,0
205e8412-e3cb-4de5-a689-bab90c74b0e6,2
2062b24b-ff2a-4bd2-8eae-faedeed97cbc,1
20d07553-e980-49dc-a59b-19ce4511eeb7,2
20dc54de-6302-463a-a494-ddee212a4b63,2
20f5513e-2bd2-4edf-97d4-b51133b054d5,0
20f788b1-bcda-4e2f-b751-c2ec57ad0fe7,2
20fadfc8-5a62-492a-b2dc-2da74e32228c,2
2192aea7-5a30-41e2-bdcd-31198abd6f17,2
21aa51a6-31dd-45ac-8703-329bf6ae5665,0
21c1577e-8e70-4b97-aed2-117492359ebf,1
21df4575-6ead-44d7-be38-fdf23437ea05,1
220f56f1-9546-4ea6-8573-0f278ac3b196,1
2244fd31-39c8-45df-a350-c6914ac3d22a,0
22876865-44f5-4477-9b05-80caaa525856,0
228d8430-7998-4083-8c39-0c184b3a120d,2
22993974-ecb4-4e26-8777-adf3dd682493,2
22caf157-9ce8-498b-89dd-6434dc4366dc,0
22e94d6d-663f-40ba-8066-4c4d2e2a7311,1
2336e454-df49-4a84-b27b-6db0c8e72a4c,2
237a0a88-0991-4ed4-87d2-afd71d40263a,1
23b39f71-f86f-4962-bf49-5bd6054b84c2,2
23c8f6d1-4ec5-40d5-8bdb-c1596ec2549c,2
2411bccc-d758-464b-8f9e-e4a2ccdb24a5,0
242ed22a-5ecb-48e1-b54e-4bf805936cc0,0
2430180f-ec66-4f6e-a02d-7fc19feb2ecd,2
243f58a5-cb3d-44a6-9f44-e3bdda8ae9f7,1
2442377c-9868-414c-8201-cc9c291d7220,2
247aeec7-4331-4c08-b2ad-a254e8893d72,2
249dd2b7-ee9f-4277-8656-ef8c44d907b3,1
24f4b4aa-72d1-438f-a508-9b5c675c30a2,1
25351848-32a4-49a1-8115-6a2a47b6fa8e,0
2537cc26-4b88-43af-a832-6af6a2fa4b88,1
253e0656-6a10-420c-abcc-003bef528105,0
2560f514-b5de-446a-8772-d5479975aaa6,2
256b0636-f83b-4988-8cf6-42a6aadee3f0,2
256c9c36-68fe-4d79-ad24-2fc88c4d49fa,1
25870e9c-edfb-45da-9031-26ee0f927df3,1
25bcc5c7-cd03-449d-afe8-bfabed3c4346,2
